Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
Fallout 4;87;59;70;Bethesda Game Studios;Western RPG;10/11/2015
Fallout 76;52;49;29;Bethesda Game Studios;Western RPG;14/11/2018
Fallout: New Vegas;84;81;86;Obsidian Entertainment;Western RPG;19/10/2010
Fallout Tactics;82;25;76;14 Degrees East;Action RPG;14/03/2001
Far Cry 5;81;90;69;Ubisoft Montreal;Open-World Action;27/03/2018
Far Cry 6;73;64;53;Ubisoft Toronto;Open-World Action;07/10/2021
Farming Simulator 22;75;14;68;Giants Software;Virtual Career;22/11/2021
Fe;70;55;63;Zoink!;Open-World Action;16/02/2018
Feeding Frenzy;65;16;68;Sprout Games;Puzzle;10/03/2006
Feeding Frenzy 2;65;10;70;Gastronaut Studios;Puzzle;17/09/2008
Fight Night Champion;86;59;75;EA Canada;Combat Sport;01/03/2011
Firewatch;81;69;73;Campo Santo;First-Person Adventure;09/02/2016
Firework;;;69;Pick up studio;Adventure;03/02/2021
Flintlock: The Siege of Dawn;70;28;44;A44;Action RPG;17/07/2024
Flock;75;18;44;Hollow Ponds;Adventure;16/07/2024
Football Manager 2024;84;43;70;Sports Interactive;Soccer Management;06/11/2023
For Honor Marching Fire Ed.;78;8;37;Ubisoft;Action Adventure;16/10/2018
For the King II;76;10;78;IronOak Games;Roguelike;02/11/2023
Forza Horizon 5;92;110;82;Playground Games;Auto Racing Sim;05/11/2021
Forza Motorsport;84;79;69;Turn 10;Auto Racing Sim;10/10/2023
Frostpunk;84;70;83;11 bit studios;Management;24/04/2018
Frostpunk 2;85;87;75;11 bit studios;Management;17/09/2024
Full Throttle Remastered;77;25;74;Double Fine Productions;Point-and-Click;18/04/2017
Fuzion Frenzy;70;28;72;Blitz Games;Party;14/11/2001
Galacticare;80;6;67;Brightrock Games;Tycoon;23/05/2024
Gang Beasts;68;18;67;Boneloaf;Party;12/12/2017
Gears 5;84;98;82;The Coalition;Third Person Shooter;06/09/2019
Gears of War;94;88;82;Epic Games;Third Person Shooter;07/11/2006
Gears of War 2;93;90;84;Epic Games;Third Person Shooter;07/11/2008
Gears of War 3;91;96;81;Epic Games;Third Person Shooter;20/09/2011
Gears of War 4;84;103;71;The Coalition;Third Person Shooter;11/10/2016
Gears of War: Judgment;79;81;58;Epic Games;Third Person Shooter;19/03/2013
Gears of War Ultimate Ed.;82;74;78;The Coalition - Splash Damage;Third Person Shooter;25/08/2015
Gears Tactics;80;99;78;Splash Damage;Turn-Based Tactics;28/04/2020
Generation Zero;51;31;58;Avalanche Studios;Open-World Action;26/03/2019
Genesis Noir;77;22;64;Feral Cat Den;Point-and-Click;26/03/2021
Genshin Impact;81;26;50;miHoYo;Action RPG;28/09/2020
Ghostwire: Tokyo;75;128;83;Tango Gameworks;Action Adventure;22/03/2022
Gigantic: Rampage Edition;65;6;45;Abstraction Games;MOBA;09/04/2024
Go Mecha Ball;70;10;70;Whale Peak Games;Top-Down Shoot-'Em-Up;25/01/2024
